Company,Title,Technical Keywords,Nontechnical Keywords
#twiceasnice Recruiting,Software Development Test Engineer,"['python', 'web', 'c++', '', 'language', 'structure', 'development', 'ui', 'design', 'r', 'software', 'engineering', 'code', 'application', 'product', 'engineer', 'machine learning', 'bachelor', 'testing', 'agile', 'unix', 'linux', 'software development']","['experience', 'year', 'degree', 'equivalent', 'working', 'work', 'ability', 'team', 'including', 'skill', 'field', 'project', 'technology', 'language', 'strong', 'understanding', 'test']"
Rise Technical Recruitment Limited,Software Engineer,"['web', 'c++', '', 'data', 'development', 'html', 'ui', 'design', 'r', 'software', 'engineering', 'systems', 'code', 'product', 'engineer', 'programming', 'business', 'communication', 'coding', 'security', 'linux', 'networking', 'software development']","['experience', 'working', 'work', 'team', 'skill', 'project', 'developing', 'service', 'high']"
HireNetworks,Software Engineer (Senior or Non-Senior),"['java', '', 'language', 'development', 'js', 'react', 'node.js', 'ui', 'design', 'r', 'software', 'engineering', 'computer', 'code', 'application', 'product', 'engineer', 'programming', 'cloud', 'communication', 'testing', 'javascript', 'cloud based', 'software development', 'computer science']","['experience', 'year', 'working', 'work', 'ability', 'team', 'skill', 'science', 'using', 'language', 'developing', 'experience working', 'service', 'new', 'test', 'distributed']"
"Liberty Mutual Insurance
",Principal Software Engineer - Remote,"['java', 'python', 'spring', '', 'object', 'oriented', 'data', 'structure', 'development', 'ui', 'design', 'analysis', 'r', 'software', 'engineering', 'application', 'product', 'engineer', 'programming', 'cloud', 'models', 'bachelor', 'business', 'architecture', 'communication', 'testing', 'aws', 'agile', 'coding', 'security', 'software development']","['experience', 'year', 'degree', 'technical', 'equivalent', 'working', 'work', 'ability', 'team', 'including', 'knowledge', 'skill', 'technology', 'using', 'experience working', 'strong', 'complex', 'service', 'test']"
Peraton,Sr C# Software Developer,"['web', '', 'data', 'development', 'ui', 'design', 'analysis', 'r', 'software', 'systems', 'computer', 'application', 'product', 'engineer', 'programming', 'sql', 'models', 'testing', 'database', 'agile', 'security']","['experience', 'year', 'degree', 'technical', 'equivalent', 'working', 'work', 'team', 'project', 'using', 'experience working', 'service', 'high', 'test']"
Progressive,Senior Data Engineer,"['python', '', 'data', 'ui', 'design', 'r', 'software', 'engineering', 'systems', 'application', 'engineer', 'programming', 'sql', 'cloud', 'bachelor', 'business', 'aws', 'troubleshooting', 'unix', 'linux']","['experience', 'year', 'degree', 'related', 'work', 'team', 'skill', 'field', 'technology', 'using', 'strong', 'related field', 'high', 'new', 'distributed']"
Amazon.com Services LLC,Software Development Engineer II,"['java', 'web', '', 'object', 'oriented', 'language', 'development', 'react', 'ui', 'design', 'r', 'software', 'engineering', 'systems', 'computer', 'code', 'application', 'engineer', 'programming', 'architecture', 'aws', 'troubleshooting', 'scaling', 'object oriented', 'software development', 'computer science']","['experience', 'year', 'degree', 'related', 'work', 'ability', 'team', 'knowledge', 'field', 'science', 'language', 'developing', 'strong', 'complex', 'related field', 'service', 'high', 'new', 'distributed', 'problem solving']"
Dell,Software Engineer – Automations,"['python', '', 'object', 'language', 'development', 'ui', 'design', 'management', 'r', 'software', 'engineering', 'systems', 'application', 'product', 'engineer', 'sql', 'models', 'bachelor', 'business', 'testing', 'agile', 'software development']","['experience', 'year', 'degree', 'related', 'equivalent', 'working', 'work', 'ability', 'team', 'management', 'knowledge', 'skill', 'using', 'language', 'developing', 'strong', 'complex', 'service', 'high', 'new', 'test', 'distributed']"
PVM Inc,Software Developers,"['java', 'python', 'c++', '', 'object', 'oriented', 'language', 'data', 'structure', 'development', 'ui', 'design', 'management', 'r', 'software', 'systems', 'code', 'application', 'programming', 'cloud', 'communication', 'testing', 'aws', 'coding', 'software development']","['experience', 'year', 'technical', 'equivalent', 'working', 'work', 'ability', 'team', 'including', 'management', 'knowledge', 'skill', 'project', 'using', 'language', 'strong', 'understanding', 'high', 'test']"
MoneyGram,Software Engineer,"['python', '', 'language', 'development', 'ui', 'design', 'r', 'software', 'systems', 'computer', 'code', 'application', 'product', 'engineer', 'programming', 'models', 'bachelor', 'business', 'communication', 'testing', 'software development', 'computer science']","['experience', 'year', 'degree', 'related', 'technical', 'equivalent', 'working', 'work', 'ability', 'team', 'skill', 'field', 'project', 'science', 'using', 'language', 'complex', 'related field', 'service', 'understanding', 'high', 'new', 'test']"
Forward Slope Inc.,Software / Data Engineer,"['java', 'python', '', 'data', 'development', 'ui', 'management', 'r', 'software', 'engineering', 'computer', 'code', 'application', 'engineer', 'sql', 'bachelor', 'mathematics', 'aws', 'coding', 'security', 'software development', 'computer science']","['experience', 'year', 'degree', 'working', 'work', 'team', 'including', 'management', 'knowledge', 'building', 'science', 'using', 'high']"
